ID	Station Name	Lat	Lon	BI
6.43084E+11	Alicante Ciudad-Jardin	38.37	-0.5	118
4.25001E+11	Hobart 2 Wnw	41.54	-87.29	36
2.0557E+11	Yuanjiang	23.6	101.98	11
4.03712E+11	"Manuan Lake,Qu"	50.63	-70.53	0
4.25002E+11	Champion Van Riper Pk	46.52	-87.99	7
2.19417E+11	Sahiwal/Montgomery	30.67	73.1	30
6.49172E+11	Tefenni	37.3	29.8	0
2.10478E+11	Shionomisaki	33.45	135.77	0
1.41688E+11	Uitenhage - Pur	-33.78	25.43	21
4.25725E+11	Boston/Logan	42.37	-71.03	98
4.25002E+11	Baton Rouge Metro Ap	30.54	-91.15	46
6.37151E+11	Bistrita	47.13	24.5	20
4.25001E+11	Kellogg	47.53	-116.13	13
5.0793E+11	Kaitaia	-35.13	173.27	0
4.03719E+11	"Carmacks,Yt"	62.1	-136.3	11
4.03719E+11	"Yellow Grass,Sa"	49.82	-104.18	8
2.05578E+11	Guiyang	26.58	106.72	25
4.25003E+11	Roswell Ind Ap	33.31	-104.51	17
3.05803E+11	La Florida Colombia	2.5	-76.6	9
4.0371E+11	Fort Good Hope      Can	ada        66.30	-128.6	0
5.01946E+11	York	-31.88	116.75	0
4.25003E+11	Austin #2	39.49	-117.07	0
4.25003E+11	Keene	42.94	-72.32	25
4.25747E+11	Visalia             Usa	36.3	-119.3	20
3.0187E+11	Jujuy Aero	-24.38	-65.08	0
5.21918E+11	Pago Pago/Int	-14.33	-170.72	0
4.25003E+11	Kimball 2Ne	41.25	-103.63	19
4.25003E+11	Charlotteburg Rsvr	41.03	-74.42	16
4.03711E+11	"Kindersley,Sa"	51.52	-109.17	12
6.49172E+11	Salihli	38.5	28.1	11
5.01948E+11	Guyra Post Office	-30.22	151.67	0
6.38228E+11	Vytegra	61.02	36.45	17
2.05515E+11	Urumqi	43.78	87.62	27
4.14763E+11	"Laguna De Salinillas, N"	uevo Le    27.43	-100.38	0
4.25003E+11	Tucumcari 4 Ne	35.2	-103.69	26
2.19416E+11	Bannu	33	70.6	15
6.49173E+11	Dalaman	36.7	28.78	0
4.25001E+11	May 2Sse	44.57	-113.9	0
4.03719E+11	Prince George	53.88	-122.68	20
4.25003E+11	Walden 1 Ese	41.55	-74.16	15
5.01943E+11	Cloncurry	-20.7	140.5	8
1.37617E+11	Tambacounda	13.77	-13.68	0
5.01958E+11	Meningie	-35.68	139.33	0
4.25003E+11	Franklin	40.1	-98.97	12
4.03717E+11	"Barrage Cabonga,Qu"	47.32	-76.47	0
4.25001E+11	Gainesville	34.3	-83.86	42
4.07785E+11	Samana Dominican Republ	ic         19.20	-69.3	0
3.03826E+11	Quixeramobim	-5.2	-39.3	9
4.03711E+11	"Lynn Lake, Ma"	56.87	-101.08	11
4.25003E+11	Chippewa Lake	41.05	-81.94	12
6.49171E+11	Corlu	41.2	27.8	9
2.05544E+11	Qinglong	40.4	118.95	0
1.22637E+11	Kisumu	-0.1	34.75	13
4.25001E+11	Canon City	38.46	-105.23	34
4.03714E+11	"Windsor Kings College,N"	s          44.98	-64.1	18
1.48628E+11	Wad Medani	14.4	33.48	16
4.25002E+11	Adrian 2 Nne	41.92	-84.02	40
5.01949E+11	Wilsons Promo	-39.12	146.42	0
5.05965E+11	Kota Kinabalu	5.93	116.05	13
6.49172E+11	Burdur	37.7	30.3	0
4.25004E+11	Manti	39.26	-111.63	16
4.25722E+11	New Orleans/Callender F	ield       29.82	-90.02	30
1.24621E+11	Derna	32.78	22.58	10
5.38917E+11	Atafu	-8.53	-172.52	0
6.34011E+11	Karasjok	69.47	25.5	18
2.19415E+11	Kakul	34.18	73.25	12
2.15443E+11	"Mongolian Station, East"	ern        47.60	118.6	0
6.49171E+11	Amasya	40.65	35.85	12
2.19416E+11	Cherat	33.82	71.88	0
5.01953E+11	Newman	-23.35	119.72	12
6.38263E+11	Vereb'E	58.68	32.7	0
4.03719E+11	"Cleardale,Al"	56.32	-119.48	0
2.05542E+11	Dunhua	43.37	128.2	17
5.01947E+11	Wilcannia	-31.55	143.37	0
4.25728E+11	Grand Forks/Faa Ap	47.95	-97.17	25
4.25001E+11	Ottawa 5Sw	41.33	-88.91	10
4.25003E+11	Grand Forks Univ Nws	47.92	-97.1	94
2.10476E+11	Kanazawa	36.58	136.63	72
2.10479E+11	Shimizu/Ashiz	32.72	133.02	0
5.0196E+11	Orford Post Office	-42.55	147.88	0
4.25005E+11	Yellowstone Pk Mammoth	44.98	-110.7	9
1.10647E+11	Ndjamena	12.13	15.03	18
1.04681E+11	Mahalapye	-23.08	26.8	0
3.01872E+11	Catamarca Aer	-28.6	-65.77	0
4.03714E+11	"Pictou,Ns"	45.7	-62.68	17
4.03717E+11	"Iroquois Falls,On"	48.75	-80.67	10
4.03718E+11	"Gagnon A,Qu"	51.95	-68.13	0
3.08863E+11	Pilar	-26.85	-58.32	13
4.25005E+11	Stehekin 4 Nw	48.35	-120.73	0
5.03966E+11	Pontianak/Sup	-0.15	109.4	0
2.08408E+11	Kerman	30.25	56.97	9
4.03718E+11	"Baie Johan Beetz,Qu"	50.28	-62.8	0
4.03719E+11	"Ennadai Lake,Nw"	61.13	-100.9	0
7.00897E+11	Mcmurdo	-77.85	166.67	0
6.09142E+11	Zagreb/Pleso	45.73	16.07	23
4.03717E+11	"Gore Bay,On"	45.92	-82.47	13
1.4789E+11	Signy Island	-60.72	-45.6	0
6.50339E+11	Izmail	45.37	28.85	13
4.03716E+11	"Cape Sable,Ns"	43.38	-65.62	0
6.33064E+11	Maastricht Ap	50.92	5.78	25
6.14029E+11	Jyvaskyla	62.4	25.68	19
2.05541E+11	Tongliao	43.6	122.27	19
4.03711E+11	"Radway,Al"	54.08	-112.9	9
4.25002E+11	Fosston 1 E	47.56	-95.72	19
4.25728E+11	Havre/Cty Cnty Montana	48.6	-109.7	14
4.14763E+11	"La Dura, Sonora"	28.38	-109.57	0
4.25E+11	Yreka	41.7	-122.64	13
5.01948E+11	Mt Burr	-37.55	140.42	0
4.25004E+11	Laurens	34.5	-82.02	23
2.15443E+11	"Mongolian Station, Govi"	alt        44.90	96.8	0
1.05655E+11	Ouahigouya	13.57	-2.42	9
6.51035E+11	Ross-On-Wye         Uk	51.9	-2.6	8
4.25004E+11	Farmington 3 Nw	41.02	-111.94	17
5.01942E+11	Victoria Rive	-16.4	131	0
5.01947E+11	Gilgandra Post Office	-31.72	148.67	11
2.22238E+11	Syktyvkar	61.72	50.83	38
4.25726E+11	Concord             Usa	43.2	-71.5	41
6.50333E+11	Kyiv	50.4	30.57	21
6.16374E+11	Samtredia	42.18	42.37	0
6.23163E+11	Candela Aero	41.1	15.5	0
2.10474E+11	Urakawa	42.17	142.78	14
7.00899E+11	Marilyn	-80	165.1	0
4.25002E+11	Two Harbors	47.03	-91.67	34
6.35124E+11	Plock	52.58	19.73	22
4.10786E+11	Guatemala City	14.5	-90.6	20
6.17102E+11	Emden-Hafen         W.G	ermany     53.30	7.2	0
2.05574E+11	Macheng	31.18	114.97	0
5.01949E+11	Lake Eildon	-37.23	145.92	0
5.01942E+11	Turkey Creek	-17.02	128.2	0
5.01948E+11	Terang Post Office	-38.25	142.92	0
6.49172E+11	Malatya/Erhac	38.43	38.08	0
6.50338E+11	Odesa	46.43	30.77	18
1.26677E+11	Zomba               Mal	a         -15.40	35.3	0
4.25004E+11	Utah Lake Lehi	40.36	-111.9	13
4.25748E+11	Sumter/Shaw Afb	33.97	-80.47	21
4.03719E+11	Estevan Point	49.38	-126.55	0
4.25001E+11	Greencastle 1 W	39.64	-86.88	27
6.49171E+11	Zara	39.9	37.8	0
2.05588E+11	Fuding	27.33	120.2	13
2.07433E+11	Kozhikode	11.25	75.78	10
4.03719E+11	"Nicholson Peninsula,Nw"	69.93	-128.97	0
1.01604E+11	Annaba	36.83	7.82	12
1.41686E+11	Grootfontein Ii - Agr	-31.48	25.03	0
6.43082E+11	Salamanca/Mat	40.95	-5.5	9
4.25001E+11	Waycross 4 Ne	31.25	-82.31	11
5.01943E+11	Rabbit Flat	-20.18	130	0
6.18167E+11	Patrai	38.25	21.73	31
6.49171E+11	Kutahya	39.4	30	10
4.25747E+11	"Corona,Nm            Us"	a          34.30	-105.6	0
4.25001E+11	West Point	32.87	-85.19	26
2.05531E+11	Mandal	42.53	110.13	0
4.25004E+11	Dufur	45.45	-121.13	8
4.25004E+11	Astoria Ap Port Of	46.16	-123.88	9
4.25001E+11	Falls Village	41.95	-73.37	0
5.01944E+11	Mount Morgan	-23.63	150.38	0
5.01948E+11	Neptune Islan	-35.33	136.12	0
3.0886E+11	Bahia Negra	-20.22	-58.17	0
3.03833E+11	Bom Jesus Da	-13.27	-43.42	13
5.06915E+11	Nauru Coastal Radio Sta	tion       -0.57	166.92	0
4.03718E+11	"Moosonee,Ont."	51.27	-80.65	16
5.07934E+11	Napier Aerodr	-39.45	176.85	0
6.35126E+11	Bielsko-Biala	49.8	19	15
4.25002E+11	Midland	43.61	-84.2	55
4.03719E+11	"Fort St James,Bc"	54.45	-124.25	22
3.09846E+11	Huancayo/Huayao	-12.1	-75.3	0
2.05564E+11	Kangding	30.05	101.97	0
5.01947E+11	Port Pirie	-33.18	138.02	18
2.05578E+11	Shaoyang	27.23	111.47	12
4.25003E+11	Rochester Intl Ap	43.12	-77.68	48
4.0372E+11	"New Hazelton,Bc"	55.23	-127.6	9
6.08156E+11	Botev Vrah	42.67	24.83	10
3.01873E+11	Cordoba Aero	-31.32	-64.22	30
4.25003E+11	Bottineau	48.82	-100.44	19
4.25003E+11	Greenville Wtp	40.1	-84.65	28
5.09982E+11	Laoag	18.18	120.53	0
6.49171E+11	Keles	39.9	29.2	0
4.25004E+11	Malheur Refuge Hq	43.26	-118.84	0
5.01949E+11	Bega	-36.67	149.82	0
4.25001E+11	Toledo 3N	42.04	-92.58	8
2.10479E+11	Tokushima Ab	34.13	134.62	22
4.25723E+11	Bristol/Tri City Airpor	t          36.48	-82.4	16
1.27613E+11	Menaka	15.87	2.22	0
4.25001E+11	Washington	41.28	-91.71	11
4.0372E+11	"Terrace,Bc"	54.52	-128.58	38
5.02917E+11	Yasawa-I-Rara	-16.7	177.58	0
4.14768E+11	"Canton, Oaxaca"	18.02	-96.28	0
5.01942E+11	Musgrave Stat	-14.78	143.5	0
4.25727E+11	Billings/Loga	45.8	-108.53	123
6.27401E+11	Beyrouth (Aer	33.82	35.48	28
4.03716E+11	"Sorel,Qu"	46.03	-73.12	97
1.48628E+11	El Obeid	13.17	30.23	17
2.22233E+11	Salehard	66.53	66.67	13
